"Month","Concession","Type","ATC1","ATC1_desc","ATC2","ATC2_desc","Scripts","Cost"
"9893","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",17569,77962.78
"9921","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",19266,92995.68
"9952","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",19173,93599.7
"9982","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",17206,84554.48
"10013","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",15604,76644.43
"10043","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",15206,75345.21
"10074","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",14192,71052.3
"10105","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",14144,70572.42
"10135","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",13150,66209.9
"10166","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",11415,56840.37
"10196","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",13138,65518.37
"10227","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",9747,48531.82
"10258","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",16315,80761.87
"10286","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",18241,92032.78
"10317","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",17437,88436.64
"10347","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",16089,81750.24
"10378","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",15391,78198.61
"10408","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",14979,76491.6
"10439","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",13386,68545.66
"10470","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",14402,73998.71
"10500","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",12920,65548.22
"10531","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",11122,56769.92
"10561","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",11907,61209.67
"10592","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",9589,49142.36
"10623","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",15319,78079.24
"10651","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",20424,104183.12
"10682","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",16892,86061.24
"10712","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",16215,83557.13
"10743","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",15665,80062.83
"10773","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",14866,76833.2
"10804","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",14228,73389.93
"10835","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",13757,71077.11
"10865","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",12581,64963.2
"10896","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",11818,61125.84
"10926","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",11701,60736.21
"10957","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",9780,50635.15
"10988","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",16485,82919.53
"11017","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",18788,94843.38
"11048","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",17600,88860.3
"11078","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",16966,86242.45
"11109","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",15716,79104.13
"11139","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",15301,78277.65
"11170","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",13819,70237.56
"11201","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",12222,62208.97
"11231","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",13014,65979.42
"11262","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",11246,56790.36
"11292","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",10868,55220.1
"11323","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",11932,59948.05
"11354","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",15704,75803.07
"11382","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",20753,102025.75
"11413","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",17936,88412.79
"11443","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",17060,85282.65
"11474","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",14444,71031.95
"11504","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",14345,72091.88
"11535","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",13764,69144.6
"11566","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",11770,60572.71
"11596","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",12345,63533.04
"11627","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",12136,64020.41
"11657","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",9789,51625.03
"11688","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",12160,64039.28
"11719","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",16511,85131.35
"11747","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",17688,90615.63
"11778","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",17540,90605.49
"11808","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",17776,91916.34
"11839","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",14345,74852.19
"11869","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",14869,77408.06
"11900","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",12623,66224.64
"11931","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",12292,64251.67
"11961","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",11385,59351.09
"11992","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",9606,50083.31
"12022","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",9418,49385.31
"12053","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",10705,54618.25
"12084","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",15795,79369.63
"12112","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",17463,88197.64
"12143","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",16470,83091
"12173","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",16532,83676.56
"12204","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",14385,73318.37
"12234","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",13579,70086.48
"12265","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",11798,61024.77
"12296","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",11744,60490.97
"12326","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",11221,57287.72
"12357","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",9328,48529.61
"12387","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",9354,47729.12
"12418","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",8760,43888.03
"12449","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",13852,66349.4
"12478","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",13845,65455.85
"12509","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",13300,64027.89
"12539","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",14254,69245.81
"12570","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",13918,69142.72
"12600","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",13091,65359.65
"12631","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",11114,55864.52
"12662","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",11102,55532
"12692","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",10109,50616
"12723","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",9859,49224
"12753","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",9201,46174
"12784","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",9379,44346
"12815","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",15642,65981
"12843","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",16716,71028
"12874","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",16530,72136
"12904","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",15107,70618
"12935","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",14121,68463
"12965","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",11836,55733
"12996","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",11792,56195
"13027","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",10968,52336
"13057","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",9206,43263
"13088","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",9205,43496
"13118","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",7289,35653
"13149","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",9214,46224
"13180","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",14150,68284
"13208","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",17199,83401
"13239","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",14916,71730
"13269","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",15789,76473
"13300","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",12901,63096
"13330","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",11939,57905
"13361","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",12095,59785
"13392","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",10140,50267
"13422","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",10498,51940
"13453","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",9046,44559
"13483","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",7997,39621
"13514","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",9946,48185
"13545","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",14503,68317
"13573","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",17095,80947
"13604","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",13198,63063
"13634","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",14797,70799
"13665","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",13327,62962
"13695","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",12554,60566
"13726","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",12071,60030.21
"13757","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",10420,51762.43
"13787","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",9175,45814.77
"13818","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",8494,42319.92
"13848","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",6411,32087
"13879","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",7132,35391
"13910","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",14818,72128
"13939","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",13829,67879
"13970","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",16383,81543
"14000","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",13886,70370
"14031","Concessional","Co-payments","A","Alimentary tract and metabolism","A01","STOMATOLOGICAL PREPARATIONS",11221,56788
"7851","Concessional","Co-payments","A","Alimentary tract and metabolism","A02","DRUGS FOR ACID RELATED DISORDERS",199544,4493259
"7882","Concessional","Co-payments","A","Alimentary tract and metabolism","A02","DRUGS FOR ACID RELATED DISORDERS",166451,3850924
"7913","Concessional","Co-payments","A","Alimentary tract and metabolism","A02","DRUGS FOR ACID RELATED DISORDERS",156199,3728200
"7943","Concessional","Co-payments","A","Alimentary tract and metabolism","A02","DRUGS FOR ACID RELATED DISORDERS",155117,3823818
"7974","Concessional","Co-payments","A","Alimentary tract and metabolism","A02","DRUGS FOR ACID RELATED DISORDERS",136112,3430063
"8004","Concessional","Co-payments","A","Alimentary tract and metabolism","A02","DRUGS FOR ACID RELATED DISORDERS",141933,3645144
"8035","Concessional","Co-payments","A","Alimentary tract and metabolism","A02","DRUGS FOR ACID RELATED DISORDERS",135001,3374112
"8066","Concessional","Co-payments","A","Alimentary tract and metabolism","A02","DRUGS FOR ACID RELATED DISORDERS",178213,4377946
"8095","Concessional","Co-payments","A","Alimentary tract and metabolism","A02","DRUGS FOR ACID RELATED DISORDERS",213226,5301231
"8126","Concessional","Co-payments","A","Alimentary tract and metabolism","A02","DRUGS FOR ACID RELATED DISORDERS",231958,5822231
"8156","Concessional","Co-payments","A","Alimentary tract and metabolism","A02","DRUGS FOR ACID RELATED DISORDERS",222220,5620505
"8187","Concessional","Co-payments","A","Alimentary tract and metabolism","A02","DRUGS FOR ACID RELATED DISORDERS",225902,5808875
"8217","Concessional","Co-payments","A","Alimentary tract and metabolism","A02","DRUGS FOR ACID RELATED DISORDERS",241684,6329338.37
"8248","Concessional","Co-payments","A","Alimentary tract and metabolism","A02","DRUGS FOR ACID RELATED DISORDERS",213945,5675336.37
"8279","Concessional","Co-payments","A","Alimentary tract and metabolism","A02","DRUGS FOR ACID RELATED DISORDERS",206882,5585360.8
"8309","Concessional","Co-payments","A","Alimentary tract and metabolism","A02","DRUGS FOR ACID RELATED DISORDERS",189446,5145860.83
"8340","Concessional","Co-payments","A","Alimentary tract and metabolism","A02","DRUGS FOR ACID RELATED DISORDERS",178752,4800151.25
"8370","Concessional","Co-payments","A","Alimentary tract and metabolism","A02","DRUGS FOR ACID RELATED DISORDERS",189765,5144345.04
"8401","Concessional","Co-payments","A","Alimentary tract and metabolism","A02","DRUGS FOR ACID RELATED DISORDERS",150701,4114017.93
"8432","Concessional","Co-payments","A","Alimentary tract and metabolism","A02","DRUGS FOR ACID RELATED DISORDERS",214485,5835528.57
"8460","Concessional","Co-payments","A","Alimentary tract and metabolism","A02","DRUGS FOR ACID RELATED DISORDERS",280040,7676152
"8491","Concessional","Co-payments","A","Alimentary tract and metabolism","A02","DRUGS FOR ACID RELATED DISORDERS",281580,7766179.28
"8521","Concessional","Co-payments","A","Alimentary tract and metabolism","A02","DRUGS FOR ACID RELATED DISORDERS",293971,8147192.15
"8552","Concessional","Co-payments","A","Alimentary tract and metabolism","A02","DRUGS FOR ACID RELATED DISORDERS",293572,8268276.09
"8582","Concessional","Co-payments","A","Alimentary tract and metabolism","A02","DRUGS FOR ACID RELATED DISORDERS",294977,8392950.48
