"date","Tmort","Rmort","Cmort","Temp","Rhumid","CO","SO2","NO2","HC","Ozone","Part"
"1970-02-09",194,8,107,66.6,66.8,17.17,3,13,65,2.17,81
"1970-02-10",200,13,101,63.4,86,9.83,1.33,3.67,30,1.83,57
"1970-02-11",179,9,101,65.6,79,10.33,1.5,5.67,50,2.33,48
"1970-02-12",190,10,110,63.2,82,8.83,3.17,6.33,65,3.33,46
"1970-02-13",194,10,100,63.6,74,12.5,1.33,5.67,45,4.17,74
"1970-02-14",154,10,79,67.8,57,12.5,2.5,6.67,50,5.17,58
"1970-02-15",195,17,98,75.2,48.6,15.83,5,17.17,55,9.5,58
"1970-02-16",192,9,94,72.8,55.8,14.67,3.17,18,50,12.83,75
"1970-02-17",172,11,99,66.6,61,7.33,2.5,8.17,40,4.83,57
"1970-02-18",178,11,83,72.4,25.6,9.5,4.17,6.83,45,4.67,68
"1970-02-19",180,12,90,69.2,13.2,6,4.33,3.33,40,3.5,82
"1970-02-20",199,12,111,71,23.4,11.33,1.67,6.33,30,3.17,80
"1970-02-21",190,15,99,66.2,48.8,10.17,2.33,6.83,45,5.33,46
"1970-02-22",183,10,104,70.2,44.4,10.17,1.83,8.5,50,7.67,56
"1970-02-23",188,9,111,73.8,42.2,11.83,3,11.5,45,7.67,59
"1970-02-24",178,12,98,73.6,48.2,14.33,3.5,14.17,60,9,76
"1970-02-25",184,10,104,79.2,37.8,17.17,4.67,18.17,55,10,86
"1970-02-26",197,17,107,76,46,14.67,3.33,16.5,45,12.83,73
"1970-02-27",182,5,96,65,67.4,7.17,2.33,7.83,45,5.17,58
"1970-02-28",203,12,103,59.6,88.2,2.67,2.17,4,25,2.67,21
"1970-03-01",211,14,116,59,83,2.83,2,3.67,30,3.33,20
"1970-03-02",176,9,97,60,68.2,5.67,2.67,5.67,25,3.33,43
"1970-03-03",187,7,98,61.8,65.2,6.83,2.5,6,40,4.33,42
"1970-03-04",147,7,76,59.4,74.6,7.67,2.17,5.67,75,2.67,53
"1970-03-05",174,15,88,64.8,52,11,2.67,6.33,35,3.67,53
"1970-03-06",201,9,101,71.2,55.6,16.33,5,14.83,50,9.5,73
"1970-03-07",185,11,101,71.2,57,16.67,5.33,17.33,25,11.33,83
"1970-03-08",184,7,98,63.6,69.6,7,4.33,10.17,20,8,38
"1970-03-09",189,9,99,62.8,70.2,7,1.5,6,20,5.33,54
"1970-03-10",180,6,92,62.8,60.6,4.83,1.5,4.67,20,3.33,58
"1970-03-11",188,10,110,65.6,58,7.83,2.17,10.33,20,5.67,46
"1970-03-12",196,9,116,67.8,66,13.67,4.67,19.17,45,9.17,72
"1970-03-13",180,13,104,78.4,43.2,15.83,3.5,18.5,45,13.17,71
"1970-03-14",164,4,84,80.6,43.6,13,3.33,13.33,40,11.33,49
"1970-03-15",210,14,92,78,57,6.67,2.67,9.67,55,10.17,40
"1970-03-16",161,8,85,77.6,49,10.67,3.67,14,65,9.67,67
"1970-03-17",164,10,82,67.8,67.2,11.17,3.17,13.33,70,8.33,63
"1970-03-18",179,13,95,70.2,37.2,7.5,3,8.17,35,5.33,50
"1970-03-19",160,8,91,71.2,16.4,9,2.5,7.33,30,4.67,60
"1970-03-20",156,8,88,72.8,21.8,8,3.33,7.33,30,5.33,60
"1970-03-21",199,5,107,72.8,42.8,10.5,3.17,13.5,45,7.83,70
"1970-03-22",181,10,99,78,45.2,11,3,14.33,50,17.33,60
"1970-03-23",195,2,116,77.2,47.6,12.67,3.33,16.17,60,14.17,70
"1970-03-24",175,9,101,70.8,64.8,12.83,5.17,18,75,10.83,75
"1970-03-25",194,8,112,72,67.6,8.33,3,13,40,13.33,50
"1970-03-26",185,9,93,58.6,80.8,6.83,3,9.83,60,5.67,46
"1970-03-27",172,5,88,72.8,49.4,9.5,2,8.83,50,6.5,53
"1970-03-28",190,9,88,70.4,50.6,8.83,1.67,7.83,40,8,33
"1970-03-29",173,10,84,66.2,63.2,5.17,1.33,5.67,35,7.5,23
"1970-03-30",181,6,103,62.8,66,6.33,1.83,5.17,30,3.67,36
"1970-03-31",165,12,81,67.8,53.4,7.17,2,7.33,30,6,41
"1970-04-01",170,10,83,71.8,22.6,7.83,3.83,7.33,40,5.67,50
"1970-04-02",172,5,96,73.6,36.2,9.83,2.67,11.33,50,8.83,53
"1970-04-03",163,8,87,74.4,50.8,13.17,2.83,15.17,55,11,58
"1970-04-04",184,13,101,82.2,28.8,16.17,2,11.67,50,10,56
"1970-04-05",181,9,88,84.8,19,11.83,2.17,8.5,35,9.67,39
"1970-04-06",186,6,89,75.6,46.6,11.33,3.33,11.17,45,7.83,42
"1970-04-07",172,7,86,68.6,57.8,6.17,1.17,7.83,25,4.83,40
"1970-04-08",155,12,72,70.4,62.4,8.33,3.33,10,40,10.33,47
"1970-04-09",182,4,100,76.2,58.6,10.33,5.5,13.5,50,12.83,54
"1970-04-10",177,9,85,79,55,13.67,4,17.17,55,15.5,68
"1970-04-11",181,5,101,78.4,49,10.67,3.67,9.67,50,11,31
"1970-04-12",193,8,102,77,55,9.67,1.83,7.5,50,11,32
"1970-04-13",185,11,101,64.8,54.6,5.17,1.5,4.83,25,5.17,25
"1970-04-14",178,10,88,61.2,43.4,5.83,2,4.83,30,4.33,26
"1970-04-15",153,7,72,66.2,48.8,7.33,2.83,7,35,6.33,31
"1970-04-16",187,7,92,59.8,57.8,7.17,1.33,5.83,30,4.33,33
"1970-04-17",168,9,85,62.8,55.6,7.17,1.17,6,40,5.33,28
"1970-04-18",190,10,98,66.8,58.8,6,1.83,6.5,30,7.17,24
"1970-04-19",190,5,96,65.2,63.6,7.67,2.5,6.5,30,8.5,22
"1970-04-20",183,5,110,70,58.2,6.17,1.83,6.83,30,8.83,30
"1970-04-21",156,4,81,61,50.4,4.67,1.5,5.17,40,4.5,23
"1970-04-22",163,5,81,66.4,46.8,8.17,1.33,6.5,35,7.17,35
"1970-04-23",162,6,77,73.8,34,9.67,2,10.33,40,9.33,46
"1970-04-24",176,5,112,73.8,43,11,4.5,10.83,45,9.33,52
"1970-04-25",191,13,102,75.2,48.8,12.83,3.33,10.67,50,10.17,55
"1970-04-26",149,11,68,65,63.4,8.17,3,6.83,45,5.5,43
"1970-04-27",151,10,83,61,48.8,4,1.5,5,30,4,25
"1970-04-28",167,8,100,62,40.6,4.67,2,4.67,50,4.83,50
"1970-04-29",150,8,81,67.6,39,8.67,2,8.83,40,6,43
"1970-04-30",194,11,86,71.2,43,8.83,3,11,40,9,50
"1970-05-01",185,11,97,82.8,32.4,12.17,2.83,15.83,60,14,55
"1970-05-02",193,6,106,87.8,16.8,12.5,3,11,40,6.67,41
"1970-05-03",183,9,102,92.8,16.2,13.5,3,10.17,45,9.17,45
"1970-05-04",188,4,103,77.6,46.2,11.5,4.5,17.17,60,9.5,65
"1970-05-05",166,7,86,72.4,54.8,8.83,4.67,13.17,40,10.5,55
"1970-05-06",161,13,90,65.8,51.8,5.33,2.5,6.67,35,5.17,30
"1970-05-07",173,9,92,66.4,53.2,5.67,2,8.17,30,7.67,39
"1970-05-08",188,9,104,69.4,55.2,7.5,3.17,8.83,40,9.5,34
"1970-05-09",192,16,96,70,58.4,4.83,2.83,7.83,35,10,23
"1970-05-10",151,8,79,70.4,55,4.5,1.83,5.83,25,9.67,27
"1970-05-11",177,7,87,70,53.4,7.5,2.17,8.33,40,8.5,45
"1970-05-12",203,8,110,72.4,43.8,8.17,3.33,11.17,55,7.5,55
"1970-05-13",174,12,81,75.8,47.8,9.17,3.67,14.5,55,9,46
"1970-05-14",191,13,116,89.4,36.6,16.33,6.33,23.33,85,15,78
"1970-05-15",188,13,90,96.6,27,16.17,6.33,30.5,85,19.33,116
"1970-05-16",189,11,94,87.8,42.8,11.17,5,22.5,60,22.5,70
"1970-05-17",183,5,102,88.8,41.2,12.17,6.17,17.33,75,21,55
"1970-05-18",184,12,97,78.8,49.6,10.67,4.17,18.17,60,11.17,80
"1970-05-19",151,3,83,74.4,53.4,6.33,3.5,10.83,70,9.33,30
"1970-05-20",168,6,87,71.2,53.8,4.83,2.83,8.5,25,7.83,25
"1970-05-21",181,9,106,73,53.6,6,4,9.83,40,11.5,35
"1970-05-22",160,6,87,75.4,58.2,7.67,4.67,13,65,15,55
"1970-05-23",173,12,87,72.4,66,5,2.83,8.33,30,12,25
"1970-05-24",188,12,100,71.6,66.4,4,2.33,6.17,25,10,20
"1970-05-25",139,8,70,66.4,69.8,5.67,2,7,35,5.5,35
"1970-05-26",173,7,88,64.6,74.2,4.83,2.17,6,40,4.83,30
"1970-05-27",167,12,94,66.8,68,5.67,1.83,5.83,35,6,43
"1970-05-28",179,11,101,67.4,64.2,5.83,3.33,6.83,30,4.67,32
"1970-05-29",159,9,86,73.6,59,5.67,3,7.17,35,10,37
"1970-05-30",202,10,113,76.8,62.2,6.17,4.83,8.17,60,14,30
"1970-05-31",196,12,88,78.2,65.6,5,3.67,9.5,35,15.83,30
"1970-06-01",169,4,102,87.2,59.6,9.33,3.5,14.83,40,19.83,51
"1970-06-02",189,13,93,88.6,51.2,13.17,4.67,23.83,60,20.33,75
"1970-06-03",171,14,97,80.8,63,8.83,4.33,15.17,30,19.5,58
"1970-06-04",143,7,81,74.2,67.6,5.67,2.5,8.17,25,8.67,40
"1970-06-05",161,3,75,73.6,63.8,5.33,2.33,7.83,30,7.33,32
"1970-06-06",150,5,81,76,63.2,4.5,1.17,6.5,35,12.67,32
"1970-06-07",152,8,81,73.6,68.4,4,2.33,4.67,30,13.33,31
"1970-06-08",163,6,86,69.4,74.8,5,1.5,6,35,6.33,34
"1970-06-09",146,4,74,71.6,68,4.33,1.67,6.17,50,5,34
"1970-06-10",183,7,90,70.2,64.6,5,2,5.83,30,4.33,25
"1970-06-11",183,7,99,75.8,59.8,4.67,1.83,5.83,30,10.17,30
"1970-06-12",152,8,77,66.4,67,5.67,1.83,5.5,20,3.67,36
"1970-06-13",189,10,83,69,61.8,5.17,1.67,4.33,25,5,22
"1970-06-14",176,8,82,72.2,58.8,6.5,1.67,5.33,45,5.5,35
"1970-06-15",189,8,102,73.4,62,6.17,1.67,6.67,30,8.33,45
"1970-06-16",163,11,83,72,67.6,6.33,1.83,7,35,7.5,40
"1970-06-17",172,8,86,77,61.8,7.5,2,9.33,40,11.67,41
"1970-06-18",172,5,90,78.8,60.4,8.67,3.17,12.83,53.33,13.5,73
"1970-06-19",167,9,95,81.2,59.2,10.33,3.33,13.5,56.67,14.83,60
"1970-06-20",185,6,98,80.2,63,7.5,4.67,12.5,43.33,16.67,38
"1970-06-21",176,8,80,80,67.8,5,2.17,8.5,33.33,15.5,32
"1970-06-22",183,14,95,79,64.4,6.17,2.5,8.67,33.33,11.17,40
"1970-06-23",151,9,72,82.2,63.4,6.5,3,10.17,36.67,15.67,42
"1970-06-24",180,11,92,83.2,58,9.5,3.33,15.17,46.67,16,48
"1970-06-25",194,8,106,95.6,42.6,12.5,4.67,23,80,16.33,75
"1970-06-26",178,11,89,87.8,43.8,9.5,2.5,18.33,75,15.67,56
"1970-06-27",159,11,80,80.4,50.2,5.33,4.17,10.33,38.33,11,30
"1970-06-28",146,9,73,78.8,54,6.17,5.17,7.83,58.33,9.17,20
"1970-06-29",151,9,69,75.4,59.2,6.33,3.33,8.83,40,9.17,30
"1970-06-30",144,8,78,84,51.2,9.83,6,14.17,65,19.67,57
"1970-07-01",195,15,100,83.4,60,8.33,5.17,16.5,51.67,16.83,45
"1970-07-02",183,7,113,94.2,46,14.67,6.67,27.83,73.33,23.67,90
"1970-07-03",194,9,103,93.4,46,8.67,4.67,15.17,41.67,22.67,60
"1970-07-04",190,13,84,96.4,43,9.5,8,20.83,75,24.33,72
"1970-07-05",221,12,103,88.8,52.2,8.33,5.33,16,78.33,17.5,49
"1970-07-06",192,12,111,85.8,58.6,7.67,3.67,16,43.33,11.17,45
"1970-07-07",165,7,93,83.8,61.8,8.5,4.17,16.83,60,12.67,55
"1970-07-08",160,12,86,83.6,63.2,9,5.33,17.17,43.33,15,55
"1970-07-09",167,8,81,83.2,65.2,8.17,3.5,13.5,38.33,14.33,45
"1970-07-10",152,10,77,79.6,69,8.33,3.5,14.33,41.67,13.67,50
"1970-07-11",198,8,86,79.6,66.4,7.17,3.17,10,31.67,14.33,50
"1970-07-12",162,6,80,79.4,64.6,6.17,4.33,8.67,31.67,12.33,51
"1970-07-13",162,10,80,83.6,59,8.83,4.33,12.67,43.33,14.33,60
"1970-07-14",151,6,80,82.8,59.4,8.17,3.67,10.17,46.67,13.83,35
"1970-07-15",157,5,85,83,59.4,7.17,4.67,13,58.33,16,50
"1970-07-16",160,5,77,85.4,57.8,8.67,4.17,13.5,56.67,20.5,55
"1970-07-17",188,6,109,84.8,59,9.33,4.5,13.83,68.33,16,60
"1970-07-18",171,1,89,88,59.8,6.83,2.17,7.83,55,13.5,32
"1970-07-19",170,6,93,89.6,53.2,7.33,3.83,10.83,71.67,17.83,40
"1970-07-20",189,9,106,88.6,57.2,8.67,6.67,13,53.33,15.83,55
"1970-07-21",195,7,96,85,54.4,10,4,13.5,46.67,12.83,65
"1970-07-22",155,9,71,84.2,56.2,7.33,3.33,10.83,46.67,11.83,42
"1970-07-23",171,4,101,81.8,61.4,7.67,4.33,12,50,12.67,50
"1970-07-24",160,4,88,81,64,7.17,3.33,9.83,33.33,16.67,60
"1970-07-25",153,4,80,80.2,63.8,5.5,3.67,9,35,16.83,35
"1970-07-26",161,3,87,82,61.6,5,3.5,8.67,48.33,15.17,25
"1970-07-27",183,6,96,84.8,59,7.33,5.5,13.17,63.33,17.33,45
"1970-07-28",166,5,83,82.8,56.8,8,4.67,13.5,43.33,15,56
"1970-07-29",154,5,85,86.6,49.2,7.67,3.83,11.33,56.67,10.17,41
"1970-07-30",160,6,88,86.8,45.2,10.17,4.83,14.33,55,17.17,70
"1970-07-31",192,5,94,88.8,41,16.17,5.17,19.5,76.67,20.17,95
"1970-08-01",163,4,87,92,42,9.83,8.5,15.17,61.67,24.67,55
"1970-08-02",193,6,97,86.6,53.2,7.67,4.5,13.17,61.67,19.67,45
"1970-08-03",144,7,80,83.6,61,8.33,3.5,11.67,45,16.5,65
"1970-08-04",186,13,98,79.2,64,6.17,2.67,9,43.33,13,45
"1970-08-05",152,7,69,79.4,65.8,7.5,4.33,10.17,40,17.17,45
"1970-08-06",152,6,76,87.4,56,13,10,20.67,90,23.33,76
"1970-08-07",191,6,95,96.8,41.4,15.67,8.5,27.33,110,26.83,100
"1970-08-08",183,11,89,93.8,45.4,7.5,3.83,12.33,65,18,50
"1970-08-09",175,6,88,91.6,50,7.67,4.33,12.83,58.33,16.5,40
"1970-08-10",184,7,99,86.4,56.8,9.17,4.83,16.5,56.67,18.83,65
"1970-08-11",199,12,101,86,59.8,7.5,3.83,12.83,55,19.67,50
"1970-08-12",150,6,87,88.6,55,8.83,4.67,11.5,56.67,16.5,65
"1970-08-13",171,10,81,88.4,54,9.83,3.83,13,61.67,15.83,61
"1970-08-14",169,8,83,87.8,56.4,9.5,3.5,10.83,66.67,14.17,56
"1970-08-15",180,14,96,87.6,55.2,10.17,4.33,9.17,65,18.5,45
"1970-08-16",167,6,80,87.8,57.4,8.17,4.17,7.67,56.67,14.17,50
"1970-08-17",148,8,86,86.6,57.8,9.33,5.5,11.17,63.33,10.17,65
"1970-08-18",165,6,86,82.6,64.6,6.5,3.5,9.67,50,8.5,35
"1970-08-19",172,8,83,82.2,67.6,6.67,3.5,10.67,41.67,10.67,55
"1970-08-20",164,6,85,81.6,69.4,7.5,3.83,11.33,40,13.67,52
"1970-08-21",173,6,84,82.8,64.4,7.5,4,12.67,45,14.33,56
"1970-08-22",174,5,96,81.8,63.2,6.83,4.67,11.83,46.67,15.33,46
"1970-08-23",162,7,85,85.2,59.2,7.5,3.83,10,55,17.33,36
"1970-08-24",161,5,85,90,51.8,10.33,4.67,18.83,73.33,21.67,69
"1970-08-25",136,5,75,87.8,49.8,10.67,4.33,16.83,85,18.83,66
"1970-08-26",165,4,83,87.4,50.6,9.67,5.33,15,55,15.17,52
"1970-08-27",172,9,88,86.4,56,8.5,3.83,15.17,73.33,12.5,55
"1970-08-28",164,7,84,83.4,61.4,8.17,3.67,12.83,51.67,13.67,47
"1970-08-29",177,10,83,83.8,60,8,4.5,11.67,63.33,12.83,50
"1970-08-30",179,6,81,86.2,55.6,8.83,5.5,11.5,80,11.83,40
"1970-08-31",175,4,86,84.8,54.6,12.5,4.33,18.33,103.33,17.67,73
"1970-09-01",173,7,101,84.6,55,12.67,4.17,19,68.33,17.83,51
"1970-09-02",148,8,79,80.4,63,9,4.5,16.33,78.33,20.33,51
"1970-09-03",162,12,82,81,63.6,8,3.5,12.83,43.33,19.17,54
"1970-09-04",185,9,100,77.6,65.2,9,3.83,13.67,55,15.33,50
"1970-09-05",184,7,67,76.4,61.2,7,3.17,8.83,40,11.83,33
"1970-09-06",155,8,66,91.4,42,9,3.5,11.33,56.67,14.83,40
"1970-09-07",189,12,95,84.6,64,5.17,3.67,7.83,45,16.5,37
"1970-09-08",183,4,101,81.6,63.6,9,4.67,13.5,68.33,16,60
"1970-09-09",160,10,79,85,62.4,12.33,3.83,19.17,83.33,18.17,69
"1970-09-10",167,7,91,86.4,61.6,13.33,4.33,19.5,68.33,22,72
"1970-09-11",171,6,87,83.4,66.2,14.33,5,20.17,68.33,20,77
"1970-09-12",160,12,72,76.4,75.4,5.5,1.83,7,43.33,10.5,26
"1970-09-13",180,8,93,72.6,65.2,4.33,2.5,5,61.67,5.33,41
"1970-09-14",180,9,87,74.4,64.6,9.17,3.33,8.33,43.33,8.5,34
"1970-09-15",165,5,91,78.8,58.6,12,4.83,14,68.33,15.33,67
"1970-09-16",152,9,81,85,53.2,15.67,6,23.83,73.33,20.83,74
"1970-09-17",187,8,94,84.4,56.8,16.83,5,24.5,110,18.83,96
"1970-09-18",167,4,91,82.4,56.2,15.5,7,22.5,100,18.83,75
"1970-09-19",168,7,89,76,61.2,10.67,5.17,19.67,86.67,12.33,58
"1970-09-20",168,4,77,79.8,55.6,7.33,3.17,10.17,83.33,14.5,38
"1970-09-21",172,10,95,77,64,8.67,3.17,11.17,78.33,13.17,47
"1970-09-22",164,5,72,91,37,17,4.17,21,66.67,12.5,85
"1970-09-23",156,11,80,86.4,38.4,17.5,3.67,17.5,85,13.5,86
"1970-09-24",189,6,103,82.6,56.4,15,4.17,18.33,86.67,13.5,81
"1970-09-25",186,6,99,94.4,35.2,18.5,6.83,21.83,88.33,13.33,93
"1970-09-26",169,8,90,96.6,14.8,16.83,5.83,13.33,68.33,9.67,70
"1970-09-27",220,11,122,101,14.2,13.33,3.5,11.67,63.33,10,60
"1970-09-28",183,9,91,93,21.2,16.83,3,17,61.67,11.67,56
"1970-09-29",176,10,91,91.6,32.4,14.5,2.83,19.33,80,10,65
"1970-09-30",178,8,85,89.8,41.2,17.17,4,20.83,101.67,17.83,76
"1970-10-01",183,4,94,88.6,44.6,19,6.67,27.5,113.33,24.33,80
"1970-10-02",164,8,86,87.8,54.2,20.5,4.67,27.5,116.67,14,85
"1970-10-03",165,7,91,81.6,66.8,9.67,4,13.17,63.33,9.5,50
"1970-10-04",164,5,82,80.6,70.6,9.33,3.5,12,78.33,12.5,45
"1970-10-05",189,13,96,71.4,76.2,6.83,2.17,9.67,35,6.5,42
"1970-10-06",171,9,99,69,76.8,6.5,2.17,8.5,30,5.17,40
"1970-10-07",153,8,89,73.4,64.4,8.83,2.5,10.17,51.67,7.17,31
"1970-10-08",154,7,75,84.4,34,17.83,2.67,17.5,70,10,75
"1970-10-09",169,9,89,82.2,38.2,17.67,4.33,21,86.67,13.33,80
"1970-10-10",165,1,80,77.4,56.4,14,2.83,14,80,13,50
"1970-10-11",188,6,97,80.6,63.4,11.83,4.17,16.83,80,17,38
"1970-10-12",167,13,83,73.6,76.8,8.83,4.17,13.5,60,12,50
"1970-10-13",185,8,92,73.4,72,7.67,2.67,10.5,41.67,10.67,45
"1970-10-14",172,11,102,71.4,70.8,7.17,3,6.67,50,7,45
"1970-10-15",152,4,82,73,70.8,13.17,3,12.5,63.33,10.5,55
"1970-10-16",194,5,119,73.8,78.2,12.33,3.33,13,61.67,12.67,50
"1970-10-17",161,10,85,74.6,73.8,8.83,4,12.83,70,16.17,45
"1970-10-18",179,7,80,74.4,74.8,8.83,5.33,13.67,63.33,15.83,55
"1970-10-19",177,4,94,73.4,73.4,8.5,2.5,13.33,66.67,11.33,50
"1970-10-20",157,4,83,71.2,69.8,9.33,2,9,46.67,4.83,40
"1970-10-21",153,12,79,69.4,73,8.83,2.5,8.5,48.33,3.5,55
"1970-10-22",180,8,95,68.4,68.4,13.17,2.5,7.83,53.33,4.67,50
"1970-10-23",161,6,84,68,76,9.5,2,8.17,43.33,3.33,45
"1970-10-24",176,7,91,69.4,72.6,9.5,2.17,7.83,56.67,4.17,35
"1970-10-25",186,7,91,71,60.4,11,2.67,8.5,58.33,6,50
"1970-10-26",170,10,101,71.2,54.6,14.5,2.83,16.33,73.33,6.33,75
"1970-10-27",146,10,85,77.6,24.4,15.5,2.83,14.67,56.67,5.17,110
"1970-10-28",168,10,78,83.8,17.2,17.33,3.5,14,66.67,6.33,80
"1970-10-29",188,11,101,86.2,21.8,30.5,3.5,22.83,105,5.67,75
"1970-10-30",159,7,83,79.8,43.2,24,6.33,29.67,98.33,13.17,80
"1970-10-31",177,12,83,77.2,45.6,22,4.83,22,110,14.67,52
"1970-11-01",195,8,111,83.4,55,21.5,5.33,24.5,115,16.83,68
"1970-11-02",177,6,98,74.2,67.4,14.17,4.83,24.67,103.33,11.17,55
"1970-11-03",173,8,93,71,70.2,13.33,5.17,23.83,86.67,8.5,69
"1970-11-04",191,9,101,68.6,72.2,11,5,16,70,5,50
"1970-11-05",183,13,103,70.6,74,13.33,3.83,15.67,63.33,3,60
"1970-11-06",161,7,84,67.8,80.6,8.5,1.5,4.5,48.33,1.67,32
"1970-11-07",166,3,95,69.8,66.2,9.5,1.17,5.17,41.67,3.5,40
"1970-11-08",178,6,98,78.4,50.6,16.17,2.17,12.67,70,5.33,55
"1970-11-09",194,11,109,80.4,44.6,17.33,3.67,17.67,85,8.5,62
"1970-11-10",163,6,88,72,64,19.5,4.33,20.33,96.67,9.67,70
"1970-11-11",188,9,100,69.4,72.2,17.83,4.83,23.17,100,8.67,75
"1970-11-12",186,6,102,72.2,60.8,10.67,3.33,11.33,60,3.5,50
"1970-11-13",175,4,96,80.4,27.8,23.67,3.67,16.67,71.67,5.33,95
"1970-11-14",186,10,80,79.2,22.2,17.67,2.5,13.83,61.67,3.5,85
"1970-11-15",190,9,96,80.8,25.2,17,3.33,9.33,58.33,4,45
"1970-11-16",179,4,97,76.6,34.4,22.17,3.17,18.67,85,6.5,80
"1970-11-17",191,5,101,76.6,46.8,25,3.83,28.67,83.33,9.33,87.5
"1970-11-18",170,7,82,68.2,69,20.83,5,23.83,103.33,8.33,93.5
"1970-11-19",177,6,89,73.2,64.4,14,3.67,22.17,63.33,7.17,66.5
"1970-11-20",191,9,94,68,68.2,18,3.17,14.33,65,6.5,70.33
"1970-11-21",169,5,91,65.4,66,17.33,2.33,10.67,68.33,6.33,59.33
"1970-11-22",185,8,104,65.2,68.6,15.17,2.67,10.67,70,8.83,59.67
"1970-11-23",183,3,97,75.6,56.6,26.67,3.5,24.67,98.33,10,71.75
"1970-11-24",164,8,94,69.6,69,27.5,6.5,28,133.33,8.5,95
"1970-11-25",182,7,90,60.8,73.8,13.83,2.17,10,46.67,3.83,52.25
"1970-11-26",177,8,95,64.4,71,9.33,2.5,5.5,51.67,2.5,39
"1970-11-27",168,6,83,60.6,62.8,10.67,1.67,5.83,51.67,1.83,41
"1970-11-28",181,6,98,58.4,69,5.5,1.17,4.17,31.67,1.67,22.25
"1970-11-29",162,7,88,59,81.2,5.83,2.17,4.5,33.33,2.33,20.25
"1970-11-30",163,2,96,59.2,74.8,11.17,1.83,5.83,58.33,2.33,46
"1970-12-01",178,7,106,61.4,68,14.33,1.67,7.17,71.67,2.33,60.75
"1970-12-02",171,8,89,60.8,72,14.17,2.33,5.67,63.33,2.33,61.5
"1970-12-03",165,11,78,63.8,58.6,23.17,3,9.17,80,4,78
"1970-12-04",185,14,100,68.6,55.8,26.33,3.83,17.67,98.33,5,82.8
"1970-12-05",198,9,101,76.8,42.2,19.33,2.67,11.17,92.5,3.33,72
"1970-12-06",192,10,86,76.8,43.8,16.83,2.5,8.17,72.5,3.5,58.6
