name,package,title,n_rows,n_cols,columns,licence,book
jj,astsa,Johnson and Johnson Quarterly Earnings Per Share,84,2,time;value,GPL-3,"Shumway & Stoffer, Time Series Analysis and Its Applications (4th ed.)"
lap,astsa,LA Pollution-Mortality Study,508,11,tmort;rmort;cmort;tempr;rh;co;so2;no2;hycarb;o3;part,GPL-3,"Shumway & Stoffer, Time Series Analysis and Its Applications (4th ed.)"
lap.xts,astsa,LA Pollution-Mortality Study: Sampled Daily,3652,12,date;Tmort;Rmort;Cmort;Temp;Rhumid;CO;SO2;NO2;HC;Ozone;Part,GPL-3,"Shumway & Stoffer, Time Series Analysis and Its Applications (4th ed.)"
lead,astsa,Leading Indicator,150,2,time;value,GPL-3,"Shumway & Stoffer, Time Series Analysis and Its Applications (4th ed.)"
nyse,astsa,Returns of the New York Stock Exchange,2000,2,time;value,GPL-3,"Shumway & Stoffer, Time Series Analysis and Its Applications (4th ed.)"
oil,astsa,"Crude oil, WTI spot price FOB",545,2,time;value,GPL-3,"Shumway & Stoffer, Time Series Analysis and Its Applications (4th ed.)"
part,astsa,Particulate levels from the LA pollution study,508,2,time;value,GPL-3,"Shumway & Stoffer, Time Series Analysis and Its Applications (4th ed.)"
polio,astsa,Poliomyelitis cases in US,168,2,time;value,GPL-3,"Shumway & Stoffer, Time Series Analysis and Its Applications (4th ed.)"
prodn,astsa,Monthly Federal Reserve Board Production Index,372,2,time;value,GPL-3,"Shumway & Stoffer, Time Series Analysis and Its Applications (4th ed.)"
qinfl,astsa,Quarterly Inflation,110,2,time;value,GPL-3,"Shumway & Stoffer, Time Series Analysis and Its Applications (4th ed.)"
qintr,astsa,Quarterly Interest Rate,110,2,time;value,GPL-3,"Shumway & Stoffer, Time Series Analysis and Its Applications (4th ed.)"
rec,astsa,Recruitment (number of new fish index),453,2,time;value,GPL-3,"Shumway & Stoffer, Time Series Analysis and Its Applications (4th ed.)"
sales,astsa,Sales,150,2,time;value,GPL-3,"Shumway & Stoffer, Time Series Analysis and Its Applications (4th ed.)"
salmon,astsa,Monthly export price of salmon,166,2,time;value,GPL-3,"Shumway & Stoffer, Time Series Analysis and Its Applications (4th ed.)"
salt,astsa,Salt Profiles,64,2,time;value,GPL-3,"Shumway & Stoffer, Time Series Analysis and Its Applications (4th ed.)"
saltemp,astsa,Temperature Profiles,64,2,time;value,GPL-3,"Shumway & Stoffer, Time Series Analysis and Its Applications (4th ed.)"
so2,astsa,SO2 levels from the LA pollution study,508,2,time;value,GPL-3,"Shumway & Stoffer, Time Series Analysis and Its Applications (4th ed.)"
soi,astsa,Southern Oscillation Index,453,2,time;value,GPL-3,"Shumway & Stoffer, Time Series Analysis and Its Applications (4th ed.)"
soiltemp,astsa,Spatial Grid of Surface Soil Temperatures,64,36,V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19;V20;V21;V22;V23;V24;V25;V26;V27;V28;V29;V30;V31;V32;V33;V34;V35;V36,GPL-3,"Shumway & Stoffer, Time Series Analysis and Its Applications (4th ed.)"
sp500.gr,astsa,Returns of the S&P 500,2728,2,time;value,GPL-3,"Shumway & Stoffer, Time Series Analysis and Its Applications (4th ed.)"
sp500w,astsa,Weekly Growth Rate of the Standard and Poor's 500,509,2,date;Close,GPL-3,"Shumway & Stoffer, Time Series Analysis and Its Applications (4th ed.)"
speech,astsa,Speech Recording,1020,2,time;value,GPL-3,"Shumway & Stoffer, Time Series Analysis and Its Applications (4th ed.)"
star,astsa,Variable Star,600,2,time;value,GPL-3,"Shumway & Stoffer, Time Series Analysis and Its Applications (4th ed.)"
sunspotz,astsa,Biannual Sunspot Numbers,459,2,time;value,GPL-3,"Shumway & Stoffer, Time Series Analysis and Its Applications (4th ed.)"
tempr,astsa,Temperatures from the LA pollution study,508,2,time;value,GPL-3,"Shumway & Stoffer, Time Series Analysis and Its Applications (4th ed.)"
unemp,astsa,U.S. Unemployment,372,2,time;value,GPL-3,"Shumway & Stoffer, Time Series Analysis and Its Applications (4th ed.)"
varve,astsa,Annual Varve Series,634,2,time;value,GPL-3,"Shumway & Stoffer, Time Series Analysis and Its Applications (4th ed.)"
PBS,tsibbledata,Monthly Medicare Australia prescription data,67596,9,Month;Concession;Type;ATC1;ATC1_desc;ATC2;ATC2_desc;Scripts;Cost,GPL-3,"Hyndman & Athanasopoulos, Forecasting: Principles and Practice (3rd ed.)"
ansett,tsibbledata,Passenger numbers on Ansett airline flights,7407,4,Week;Airports;Class;Passengers,GPL-3,"Hyndman & Athanasopoulos, Forecasting: Principles and Practice (3rd ed.)"
aus_livestock,tsibbledata,Australian livestock slaughter,29364,4,Month;Animal;State;Count,GPL-3,"Hyndman & Athanasopoulos, Forecasting: Principles and Practice (3rd ed.)"
aus_production,tsibbledata,Quarterly production of selected commodities in Australia.,218,7,Quarter;Beer;Tobacco;Bricks;Cement;Electricity;Gas,GPL-3,"Hyndman & Athanasopoulos, Forecasting: Principles and Practice (3rd ed.)"
aus_retail,tsibbledata,Australian retail trade turnover,64532,5,State;Industry;Series ID;Month;Turnover,GPL-3,"Hyndman & Athanasopoulos, Forecasting: Principles and Practice (3rd ed.)"
gafa_stock,tsibbledata,GAFA stock prices,5032,8,Symbol;Date;Open;High;Low;Close;Adj_Close;Volume,GPL-3,"Hyndman & Athanasopoulos, Forecasting: Principles and Practice (3rd ed.)"
global_economy,tsibbledata,Global economic indicators,15150,9,Country;Code;Year;GDP;Growth;CPI;Imports;Exports;Population,GPL-3,"Hyndman & Athanasopoulos, Forecasting: Principles and Practice (3rd ed.)"
hh_budget,tsibbledata,Household budget characteristics,88,8,Country;Year;Debt;DI;Expenditure;Savings;Wealth;Unemployment,GPL-3,"Hyndman & Athanasopoulos, Forecasting: Principles and Practice (3rd ed.)"
nyc_bikes,tsibbledata,NYC Citi Bike trips,4268,12,bike_id;start_time;stop_time;start_station;start_lat;start_long;end_station;end_lat;end_long;type;birth_year;gender,GPL-3,"Hyndman & Athanasopoulos, Forecasting: Principles and Practice (3rd ed.)"
olympic_running,tsibbledata,Fastest running times for Olympic races,312,4,Year;Length;Sex;Time,GPL-3,"Hyndman & Athanasopoulos, Forecasting: Principles and Practice (3rd ed.)"
pelt,tsibbledata,Pelt trading records,91,3,Year;Hare;Lynx,GPL-3,"Hyndman & Athanasopoulos, Forecasting: Principles and Practice (3rd ed.)"
vic_elec,tsibbledata,"Half-hourly electricity demand for Victoria, Australia",52608,5,Time;Demand;Temperature;Date;Holiday,GPL-3,"Hyndman & Athanasopoulos, Forecasting: Principles and Practice (3rd ed.)"
